"Arquivo","Linha","Palavra","Classifica","Trecho"
"\src\components\Footer.jsx","6","portfolio","PROVAVEL_SEGURO","{ nome: ""Portfolio"", href: ""/#portfolio"" },"
"\src\components\Footer.jsx","21","descricao","RISCO_REAL","{/* Logo e descricao */}"
"\src\components\Footer.jsx","31","titulo","PROVAVEL_SEGURO","<span className=""font-titulo text-branco-gelo text-base"">"
"\src\components\Header.jsx","9","portfolio","PROVAVEL_SEGURO","{ nome: ""Portfolio"", href: ""/#portfolio"" },"
"\src\components\Header.jsx","9","portfolio","PROVAVEL_SEGURO","{ nome: ""Portfolio"", href: ""/#portfolio"" },"
"\src\components\Header.jsx","44","titulo","PROVAVEL_SEGURO","<span className=""font-titulo text-branco-gelo text-lg tracking-wide hidden sm:inline"">"
"\src\lib\auth.js","24","usuario","RISCO_REAL","const usuario = await prisma.usuario.findUnique({"
"\src\lib\auth.js","24","usuario","RISCO_REAL","const usuario = await prisma.usuario.findUnique({"
"\src\lib\auth.js","27","usuario","RISCO_REAL","if (!usuario || !usuario.ativo) return null;"
"\src\lib\auth.js","27","usuario","RISCO_REAL","if (!usuario || !usuario.ativo) return null;"
"\src\lib\auth.js","31","usuario","RISCO_REAL","usuario.senhaHash"
"\src\lib\auth.js","36","usuario","RISCO_REAL","id: usuario.id,"
"\src\lib\auth.js","37","usuario","RISCO_REAL","name: usuario.nome,"
"\src\lib\auth.js","38","usuario","RISCO_REAL","email: usuario.email,"
"\src\lib\auth.js","39","usuario","RISCO_REAL","papel: usuario.papel,"
