"Arquivo","Linha","Palavra","Classifica","Trecho"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","32","titulo","RISCO_REAL","Titulo"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","55","titulo","RISCO_REAL","{projeto.titulo}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","83","portfolio","PROVAVEL_SEGURO","href={`/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","89","portfolio","PROVAVEL_SEGURO","endpoint={`/api/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","90","titulo","PROVAVEL_SEGURO","confirmText={`Excluir ""${projeto.titulo}""?`}"
"\src\app\(cms)\admin\login\page.jsx","38","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-dourado text-center mb-1"">"
"\src\app\(site)\ambientes\[slug]\page.jsx","24","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-4xl text-branco-gelo text-center mb-10"">"
"\src\app\(site)\ambientes\[slug]\page.jsx","25","titulo","RISCO_REAL","{ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","31","titulo","RISCO_REAL","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","40","descricao","RISCO_REAL","{ambiente.descricao}"
"\src\app\(site)\ambientes\page.jsx","24","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-4xl md:text-5xl text-branco-gelo text-center mb-6"">"
"\src\app\(site)\ambientes\page.jsx","47","titulo","RISCO_REAL","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","55","titulo","PROVAVEL_SEGURO","<h2 className=""font-titulo text-xl text-branco-gelo mb-2"">"
"\src\app\(site)\ambientes\page.jsx","56","titulo","RISCO_REAL","{ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","59","descricao","RISCO_REAL","{ambiente.descricao}"
"\src\app\(site)\ambientes\page.jsx","62","portfolio","PROVAVEL_SEGURO","href=""/#portfolio"""
"\src\app\(site)\blog\[slug]\page.jsx","14","titulo","RISCO_REAL","const titulo = post.metaTitulo || post.titulo;"
"\src\app\(site)\blog\[slug]\page.jsx","14","titulo","RISCO_REAL","const titulo = post.metaTitulo || post.titulo;"
"\src\app\(site)\blog\[slug]\page.jsx","15","descricao","RISCO_REAL","const descricao = post.metaDescricao || post.resumo;"
"\src\app\(site)\blog\[slug]\page.jsx","18","titulo","PROVAVEL_SEGURO","title: `${titulo} | AW Marcenaria`,"
"\src\app\(site)\blog\[slug]\page.jsx","19","descricao","RISCO_REAL","description: descricao,"
"\src\app\(site)\blog\[slug]\page.jsx","21","titulo","RISCO_REAL","title: titulo,"
"\src\app\(site)\blog\[slug]\page.jsx","22","descricao","RISCO_REAL","description: descricao,"
"\src\app\(site)\blog\[slug]\page.jsx","40","titulo","RISCO_REAL","headline: post.titulo,"
"\src\app\(site)\blog\[slug]\page.jsx","76","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-3xl md:text-5xl text-branco-gelo leading-tight mb-8"">"
"\src\app\(site)\blog\[slug]\page.jsx","77","titulo","RISCO_REAL","{post.titulo}"
"\src\app\(site)\blog\[slug]\page.jsx","83","titulo","RISCO_REAL","alt={post.titulo}"
"\src\app\(site)\blog\page.jsx","25","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-4xl md:text-5xl text-branco-gelo text-center mb-16"">"
"\src\app\(site)\blog\page.jsx","44","titulo","RISCO_REAL","alt={post.titulo}"
"\src\app\(site)\blog\page.jsx","58","titulo","PROVAVEL_SEGURO","<h2 className=""font-titulo text-xl text-branco-gelo mb-2 group-hover:text-dourado transition"">"
"\src\app\(site)\blog\page.jsx","59","titulo","RISCO_REAL","{post.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","24","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-4xl text-branco-gelo text-center mb-10"">"
"\src\app\(site)\portfolio\[slug]\page.jsx","25","titulo","RISCO_REAL","{projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","31","titulo","RISCO_REAL","alt={projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","40","descricao","RISCO_REAL","{projeto.descricao}"
"\src\app\(site)\portfolio\[slug]\page.jsx","45","titulo","PROVAVEL_SEGURO","<h2 className=""font-titulo text-2xl text-branco-gelo text-center mb-6"">"
"\src\app\(site)\portfolio\[slug]\page.jsx","56","titulo","PROVAVEL_SEGURO","alt={`${projeto.titulo} - foto ${index + 1}`}"
"\src\app\(site)\portfolio\page.jsx","1","portfolio","RISCO_REAL","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\portfolio\page.jsx","1","portfolio","PROVAVEL_SEGURO","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\portfolio\page.jsx","4","portfolio","PROVAVEL_SEGURO","title: ""Portfolio | AW Marcenaria e Móveis Planejados"","
"\src\app\(site)\portfolio\page.jsx","14","portfolio","RISCO_REAL","<Portfolio />"
"\src\app\(site)\page.jsx","5","portfolio","RISCO_REAL","import Portfolio from ""@/components/sections/Portfolio"";"
