"Arquivo","Linha","Tipo","Trecho"
"\src\app\(site)\portfolio\page.jsx","14","SEM_ACENTO (portfolio)","<Portfolio />"
"\src\app\(site)\processo\page.jsx","4","SEM_ACENTO (moveis)","title: ""Como Funciona | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\processo\page.jsx","6","SEM_ACENTO (consultoria)","""Entenda o processo completo, da consultoria a entrega, dos projetos de marcenaria planejada da AW Marcenaria."","
"\src\app\(site)\sobre\page.jsx","4","SEM_ACENTO (moveis)","title: ""Sobre | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\sobre\page.jsx","6","SEM_ACENTO (conheca)","""Conheca a historia, a missao, os valores e o processo de fabricacao da AW Marcenaria."","
"\src\app\(site)\page.jsx","5","SEM_ACENTO (portfolio)","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\page.jsx","22","SEM_ACENTO (portfolio)","<Portfolio />"
"\src\app\api\admin\ambientes\[id]\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(2),"
"\src\app\api\admin\ambientes\[id]\route.js","10","SEM_ACENTO (descricao)","descricao: z.string().min(5),"
"\src\app\api\admin\ambientes\[id]\route.js","13","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\ambientes\[id]\route.js","19","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\ambientes\[id]\route.js","26","SEM_ACENTO (ambiente)","const ambiente = await prisma.ambiente.update({"
"\src\app\api\admin\ambientes\[id]\route.js","30","SEM_ACENTO (ambiente)","return NextResponse.json(ambiente);"
"\src\app\api\admin\ambientes\[id]\route.js","40","SEM_ACENTO (ambiente)","{ erro: ""Ja existe um ambiente com esse slug"" },"
"\src\app\api\admin\ambientes\[id]\route.js","44","SEM_ACENTO (ambiente)","console.error(""Erro ao atualizar ambiente:"", error);"
"\src\app\api\admin\ambientes\[id]\route.js","52","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\ambientes\[id]\route.js","56","SEM_ACENTO (ambiente)","await prisma.ambiente.delete({ where: { id: params.id } });"
"\src\app\api\admin\ambientes\[id]\route.js","59","SEM_ACENTO (ambiente)","console.error(""Erro ao excluir ambiente:"", error);"
"\src\app\api\admin\ambientes\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(2),"
"\src\app\api\admin\ambientes\route.js","10","SEM_ACENTO (descricao)","descricao: z.string().min(5),"
"\src\app\api\admin\ambientes\route.js","13","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\ambientes\route.js","19","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\ambientes\route.js","26","SEM_ACENTO (ambiente)","const ambiente = await prisma.ambiente.create({ data: dados });"
"\src\app\api\admin\ambientes\route.js","27","SEM_ACENTO (ambiente)","return NextResponse.json(ambiente, { status: 201 });"
"\src\app\api\admin\ambientes\route.js","37","SEM_ACENTO (ambiente)","{ erro: ""Ja existe um ambiente com esse slug"" },"
"\src\app\api\admin\ambientes\route.js","41","SEM_ACENTO (ambiente)","console.error(""Erro ao criar ambiente:"", error);"
"\src\app\api\admin\banners\[id]\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(2),"
"\src\app\api\admin\banners\[id]\route.js","20","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\banners\[id]\route.js","47","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\banners\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(2),"
"\src\app\api\admin\banners\route.js","20","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\[id]\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(3),"
"\src\app\api\admin\blog\[id]\route.js","18","SEM_ACENTO (publicado)","publicado: z.boolean().default(false),"
"\src\app\api\admin\blog\[id]\route.js","24","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\[id]\route.js","34","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Post nao encontrado"" }, { status: 404 });"
"\src\app\api\admin\blog\[id]\route.js","37","SEM_ACENTO (publicado)","const publicadoEm = dados.publicado"
"\src\app\api\admin\blog\[id]\route.js","67","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(3),"
"\src\app\api\admin\blog\route.js","18","SEM_ACENTO (publicado)","publicado: z.boolean().default(false),"
"\src\app\api\admin\blog\route.js","24","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\route.js","34","SEM_ACENTO (publicado)","publicadoEm: dados.publicado ? new Date() : null,"
"\src\app\api\admin\depoimentos\[id]\route.js","12","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\depoimentos\[id]\route.js","18","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\depoimentos\[id]\route.js","45","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\depoimentos\route.js","12","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\depoimentos\route.js","18","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\faq\[id]\route.js","11","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\faq\[id]\route.js","17","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\faq\[id]\route.js","44","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\faq\route.js","11","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\faq\route.js","17","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\leads\[id]\route.js","20","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\[id]\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(2),"
"\src\app\api\admin\portfolio\[id]\route.js","10","SEM_ACENTO (descricao)","descricao: z.string().min(5),"
"\src\app\api\admin\portfolio\[id]\route.js","11","SEM_ACENTO (categoria)","categoria: z.string().min(2),"
"\src\app\api\admin\portfolio\[id]\route.js","15","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\portfolio\[id]\route.js","21","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\[id]\route.js","28","SEM_ACENTO (projeto)","const projeto = await prisma.projetoPortfolio.update({"
"\src\app\api\admin\portfolio\[id]\route.js","32","SEM_ACENTO (projeto)","return NextResponse.json(projeto);"
"\src\app\api\admin\portfolio\[id]\route.js","42","SEM_ACENTO (projeto)","{ erro: ""Ja existe um projeto com esse slug"" },"
"\src\app\api\admin\portfolio\[id]\route.js","46","SEM_ACENTO (projeto)","console.error(""Erro ao atualizar projeto:"", error);"
"\src\app\api\admin\portfolio\[id]\route.js","54","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\[id]\route.js","61","SEM_ACENTO (projeto)","console.error(""Erro ao excluir projeto:"", error);"
"\src\app\api\admin\portfolio\route.js","8","SEM_ACENTO (titulo)","titulo: z.string().min(2),"
"\src\app\api\admin\portfolio\route.js","10","SEM_ACENTO (descricao)","descricao: z.string().min(5),"
"\src\app\api\admin\portfolio\route.js","11","SEM_ACENTO (categoria)","categoria: z.string().min(2),"
"\src\app\api\admin\portfolio\route.js","15","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\app\api\admin\portfolio\route.js","21","SEM_ACENTO (nao)","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\route.js","28","SEM_ACENTO (projeto)","const projeto = await prisma.projetoPortfolio.create({ data: dados });"
"\src\app\api\admin\portfolio\route.js","29","SEM_ACENTO (projeto)","return NextResponse.json(projeto, { status: 201 });"
"\src\app\api\admin\portfolio\route.js","39","SEM_ACENTO (projeto)","{ erro: ""Ja existe um projeto com esse slug"" },"
"\src\app\api\admin\portfolio\route.js","43","SEM_ACENTO (projeto)","console.error(""Erro ao criar projeto:"", error);"
"\src\app\layout.jsx","6","SEM_ACENTO (titulo)","variable: ""--font-titulo"","
"\src\app\layout.jsx","17","SEM_ACENTO (moveis)","title: ""AW Marcenaria e Moveis Planejados"","
"\src\app\layout.jsx","18","SEM_ACENTO (moveis)","description: ""Marcenaria e moveis planejados de alto padrao"","
"\src\app\layout.jsx","18","SEM_ACENTO (padrao)","description: ""Marcenaria e moveis planejados de alto padrao"","
"\src\components\admin\AmbienteForm.jsx","10","SEM_ACENTO (titulo)","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\AmbienteForm.jsx","15","SEM_ACENTO (descricao)","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\AmbienteForm.jsx","18","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\components\admin\AmbienteForm.jsx","30","SEM_ACENTO (ambiente)","export default function AmbienteForm({ ambiente }) {"
"\src\components\admin\AmbienteForm.jsx","41","SEM_ACENTO (ambiente)","defaultValues: ambiente || {"
"\src\components\admin\AmbienteForm.jsx","42","SEM_ACENTO (titulo)","titulo: """","
"\src\components\admin\AmbienteForm.jsx","44","SEM_ACENTO (descricao)","descricao: """","
"\src\components\admin\AmbienteForm.jsx","47","SEM_ACENTO (publicado)","publicado: true,"
"\src\components\admin\AmbienteForm.jsx","54","SEM_ACENTO (ambiente)","const url = ambiente"
"\src\components\admin\AmbienteForm.jsx","55","SEM_ACENTO (ambiente)","? `/api/admin/ambientes/${ambiente.id}`"
"\src\components\admin\AmbienteForm.jsx","57","SEM_ACENTO (ambiente)","const method = ambiente ? ""PUT"" : ""POST"";"
"\src\components\admin\AmbienteForm.jsx","70","SEM_ACENTO (nao)","setErro(""Nao foi possivel salvar. Tente novamente."");"
"\src\components\admin\AmbienteForm.jsx","81","SEM_ACENTO (titulo)","Titulo *"
"\src\components\admin\AmbienteForm.jsx","85","SEM_ACENTO (titulo)","{...register(""titulo"")}"
"\src\components\admin\AmbienteForm.jsx","87","SEM_ACENTO (ambiente)","if (!ambiente) setValue(""slug"", gerarSlug(e.target.value));"
"\src\components\admin\AmbienteForm.jsx","91","SEM_ACENTO (titulo)","{errors.titulo && ("
"\src\components\admin\AmbienteForm.jsx","92","SEM_ACENTO (titulo)","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\AmbienteForm.jsx","112","SEM_ACENTO (descricao)","Descricao *"
"\src\components\admin\AmbienteForm.jsx","116","SEM_ACENTO (descricao)","{...register(""descricao"")}"
"\src\components\admin\AmbienteForm.jsx","119","SEM_ACENTO (descricao)","{errors.descricao && ("
"\src\components\admin\AmbienteForm.jsx","121","SEM_ACENTO (descricao)","{errors.descricao.message}"
"\src\components\admin\AmbienteForm.jsx","132","SEM_ACENTO (cozinha)","placeholder=""/images/ambientes/cozinha.jpg"""
"\src\components\admin\AmbienteForm.jsx","138","SEM_ACENTO (nao)","aqui (upload direto ainda nao esta disponivel)."
"\src\components\admin\AmbienteForm.jsx","138","SEM_ACENTO (esta)","aqui (upload direto ainda nao esta disponivel)."
"\src\components\admin\AmbienteForm.jsx","161","SEM_ACENTO (publicado)","id=""publicado"""
"\src\components\admin\AmbienteForm.jsx","162","SEM_ACENTO (publicado)","{...register(""publicado"")}"
"\src\components\admin\AmbienteForm.jsx","166","SEM_ACENTO (publicado)","htmlFor=""publicado"""
"\src\components\admin\AmbienteForm.jsx","169","SEM_ACENTO (publicado)","Publicado (visivel no site)"
"\src\components\admin\BannerForm.jsx","10","SEM_ACENTO (titulo)","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\BannerForm.jsx","30","SEM_ACENTO (titulo)","titulo: """","
"\src\components\admin\BannerForm.jsx","57","SEM_ACENTO (nao)","setErro(""Nao foi possivel salvar. Tente novamente."");"
"\src\components\admin\BannerForm.jsx","68","SEM_ACENTO (titulo)","Titulo *"
"\src\components\admin\BannerForm.jsx","72","SEM_ACENTO (titulo)","{...register(""titulo"")}"
"\src\components\admin\BannerForm.jsx","75","SEM_ACENTO (titulo)","{errors.titulo && ("
"\src\components\admin\BannerForm.jsx","76","SEM_ACENTO (titulo)","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\BannerForm.jsx","106","SEM_ACENTO (nao)","(upload direto ainda nao esta disponivel)."
"\src\components\admin\BannerForm.jsx","106","SEM_ACENTO (esta)","(upload direto ainda nao esta disponivel)."
"\src\components\admin\BannerForm.jsx","115","SEM_ACENTO (botao)","Link do botao (opcional)"
"\src\components\admin\BannerForm.jsx","130","SEM_ACENTO (botao)","Texto do botao (opcional)"
"\src\components\admin\BannerForm.jsx","134","SEM_ACENTO (projeto)","placeholder=""Solicitar um Projeto"""
"\src\components\admin\DeleteButton.jsx","21","SEM_ACENTO (nao)","alert(""Nao foi possivel excluir. Tente novamente."");"
"\src\components\admin\DepoimentoForm.jsx","12","SEM_ACENTO (maxima)","notaEstrelas: z.coerce.number().int().min(1, ""Nota minima 1"").max(5, ""Nota maxima 5"").default(5),"
"\src\components\admin\DepoimentoForm.jsx","14","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\components\admin\DepoimentoForm.jsx","32","SEM_ACENTO (publicado)","publicado: true,"
"\src\components\admin\DepoimentoForm.jsx","55","SEM_ACENTO (nao)","setErro(""Nao foi possivel salvar. Tente novamente."");"
"\src\components\admin\DepoimentoForm.jsx","131","SEM_ACENTO (publicado)","id=""publicado"""
"\src\components\admin\DepoimentoForm.jsx","132","SEM_ACENTO (publicado)","{...register(""publicado"")}"
"\src\components\admin\DepoimentoForm.jsx","136","SEM_ACENTO (publicado)","htmlFor=""publicado"""
"\src\components\admin\DepoimentoForm.jsx","139","SEM_ACENTO (publicado)","Publicado (visivel no site)"
"\src\components\admin\FaqForm.jsx","13","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\components\admin\FaqForm.jsx","30","SEM_ACENTO (publicado)","publicado: true,"
"\src\components\admin\FaqForm.jsx","51","SEM_ACENTO (nao)","setErro(""Nao foi possivel salvar. Tente novamente."");"
"\src\components\admin\FaqForm.jsx","104","SEM_ACENTO (publicado)","id=""publicado"""
"\src\components\admin\FaqForm.jsx","105","SEM_ACENTO (publicado)","{...register(""publicado"")}"
"\src\components\admin\FaqForm.jsx","109","SEM_ACENTO (publicado)","htmlFor=""publicado"""
"\src\components\admin\FaqForm.jsx","112","SEM_ACENTO (publicado)","Publicado (visivel no site)"
"\src\components\admin\LeadStatusSelect.jsx","9","SEM_ACENTO (orcamento)","{ valor: ""ORCAMENTO_ENVIADO"", rotulo: ""Orcamento enviado"" },"
"\src\components\admin\PortfolioForm.jsx","10","SEM_ACENTO (titulo)","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\PortfolioForm.jsx","15","SEM_ACENTO (descricao)","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\PortfolioForm.jsx","16","SEM_ACENTO (categoria)","categoria: z.string().min(2, ""Informe a categoria""),"
"\src\components\admin\PortfolioForm.jsx","20","SEM_ACENTO (publicado)","publicado: z.boolean().default(true),"
"\src\components\admin\PortfolioForm.jsx","32","SEM_ACENTO (projeto)","export default function PortfolioForm({ projeto }) {"
"\src\components\admin\PortfolioForm.jsx","43","SEM_ACENTO (projeto)","defaultValues: projeto"
"\src\components\admin\PortfolioForm.jsx","45","SEM_ACENTO (projeto)","...projeto,"
"\src\components\admin\PortfolioForm.jsx","46","SEM_ACENTO (projeto)","imagensGaleriaTexto: (projeto.imagensGaleria || []).join(""\n""),"
"\src\components\admin\PortfolioForm.jsx","49","SEM_ACENTO (titulo)","titulo: """","
"\src\components\admin\PortfolioForm.jsx","51","SEM_ACENTO (descricao)","descricao: """","
"\src\components\admin\PortfolioForm.jsx","52","SEM_ACENTO (categoria)","categoria: """","
"\src\components\admin\PortfolioForm.jsx","56","SEM_ACENTO (publicado)","publicado: true,"
"\src\components\admin\PortfolioForm.jsx","69","SEM_ACENTO (titulo)","titulo: dados.titulo,"
"\src\components\admin\PortfolioForm.jsx","71","SEM_ACENTO (descricao)","descricao: dados.descricao,"
"\src\components\admin\PortfolioForm.jsx","72","SEM_ACENTO (categoria)","categoria: dados.categoria,"
"\src\components\admin\PortfolioForm.jsx","76","SEM_ACENTO (publicado)","publicado: dados.publicado,"
"\src\components\admin\PortfolioForm.jsx","79","SEM_ACENTO (projeto)","const url = projeto"
"\src\components\admin\PortfolioForm.jsx","80","SEM_ACENTO (portfolio)","? `/api/admin/portfolio/${projeto.id}`"
"\src\components\admin\PortfolioForm.jsx","80","SEM_ACENTO (projeto)","? `/api/admin/portfolio/${projeto.id}`"
"\src\components\admin\PortfolioForm.jsx","81","SEM_ACENTO (portfolio)",": ""/api/admin/portfolio"";"
"\src\components\admin\PortfolioForm.jsx","82","SEM_ACENTO (projeto)","const method = projeto ? ""PUT"" : ""POST"";"
"\src\components\admin\PortfolioForm.jsx","92","SEM_ACENTO (portfolio)","router.push(""/admin/portfolio"");"
"\src\components\admin\PortfolioForm.jsx","95","SEM_ACENTO (nao)","setErro(""Nao foi possivel salvar. Tente novamente."");"
"\src\components\admin\PortfolioForm.jsx","106","SEM_ACENTO (titulo)","Titulo *"
"\src\components\admin\PortfolioForm.jsx","110","SEM_ACENTO (titulo)","{...register(""titulo"")}"
"\src\components\admin\PortfolioForm.jsx","112","SEM_ACENTO (projeto)","if (!projeto) setValue(""slug"", gerarSlug(e.target.value));"
"\src\components\admin\PortfolioForm.jsx","116","SEM_ACENTO (titulo)","{errors.titulo && ("
"\src\components\admin\PortfolioForm.jsx","117","SEM_ACENTO (titulo)","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\PortfolioForm.jsx","137","SEM_ACENTO (categoria)","Categoria *"
"\src\components\admin\PortfolioForm.jsx","141","SEM_ACENTO (escritorios)","placeholder=""Cozinhas, Quartos, Salas, Escritorios..."""
"\src\components\admin\PortfolioForm.jsx","142","SEM_ACENTO (categoria)","{...register(""categoria"")}"
"\src\components\admin\PortfolioForm.jsx","145","SEM_ACENTO (categoria)","{errors.categoria && ("
"\src\components\admin\PortfolioForm.jsx","147","SEM_ACENTO (categoria)","{errors.categoria.message}"
"\src\components\admin\PortfolioForm.jsx","154","SEM_ACENTO (descricao)","Descricao *"
"\src\components\admin\PortfolioForm.jsx","158","SEM_ACENTO (descricao)","{...register(""descricao"")}"
"\src\components\admin\PortfolioForm.jsx","161","SEM_ACENTO (descricao)","{errors.descricao && ("
"\src\components\admin\PortfolioForm.jsx","163","SEM_ACENTO (descricao)","{errors.descricao.message}"
"\src\components\admin\PortfolioForm.jsx","174","SEM_ACENTO (portfolio)","placeholder=""/images/portfolio/projeto-01.jpg"""
"\src\components\admin\PortfolioForm.jsx","174","SEM_ACENTO (projeto)","placeholder=""/images/portfolio/projeto-01.jpg"""
"\src\components\admin\PortfolioForm.jsx","192","SEM_ACENTO (portfolio)","""/images/portfolio/projeto-01-galeria-1.jpg\n/images/portfolio/projeto-01-galeria-2.jpg"""
"\src\components\admin\PortfolioForm.jsx","192","SEM_ACENTO (projeto)","""/images/portfolio/projeto-01-galeria-1.jpg\n/images/portfolio/projeto-01-galeria-2.jpg"""
"\src\components\admin\PortfolioForm.jsx","198","SEM_ACENTO (portfolio)","Copie as fotos para public/images/portfolio/ e liste um caminho"
"\src\components\admin\PortfolioForm.jsx","214","SEM_ACENTO (projeto)","Projeto em destaque"
"\src\components\admin\PortfolioForm.jsx","221","SEM_ACENTO (publicado)","id=""publicado"""
"\src\components\admin\PortfolioForm.jsx","222","SEM_ACENTO (publicado)","{...register(""publicado"")}"
"\src\components\admin\PortfolioForm.jsx","226","SEM_ACENTO (publicado)","htmlFor=""publicado"""
"\src\components\admin\PortfolioForm.jsx","229","SEM_ACENTO (publicado)","Publicado (visivel no site)"
"\src\components\admin\PortfolioForm.jsx","245","SEM_ACENTO (portfolio)","onClick={() => router.push(""/admin/portfolio"")}"
"\src\components\admin\PostBlogForm.jsx","10","SEM_ACENTO (titulo)","titulo: z.string().min(3, ""Informe o titulo""),"
"\src\components\admin\PostBlogForm.jsx","20","SEM_ACENTO (publicado)","publicado: z.boolean().default(false),"
"\src\components\admin\PostBlogForm.jsx","49","SEM_ACENTO (titulo)","titulo: """","
"\src\components\admin\PostBlogForm.jsx","56","SEM_ACENTO (publicado)","publicado: false,"
"\src\components\admin\PostBlogForm.jsx","60","SEM_ACENTO (titulo)","const titulo = watch(""titulo"");"
"\src\components\admin\PostBlogForm.jsx","64","SEM_ACENTO (titulo)","setValue(""slug"", gerarSlug(titulo || """"));"
"\src\components\admin\PostBlogForm.jsx","66","SEM_ACENTO (titulo)","}, [titulo, setValue]);"
"\src\components\admin\PostBlogForm.jsx","88","SEM_ACENTO (nao)","setErro(error.message || ""Nao foi possivel salvar. Tente novamente."");"
"\src\components\admin\PostBlogForm.jsx","96","SEM_ACENTO (titulo)","Titulo *"
"\src\components\admin\PostBlogForm.jsx","100","SEM_ACENTO (titulo)","{...register(""titulo"")}"
"\src\components\admin\PostBlogForm.jsx","103","SEM_ACENTO (titulo)","{errors.titulo && ("
"\src\components\admin\PostBlogForm.jsx","104","SEM_ACENTO (titulo)","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\PostBlogForm.jsx","114","SEM_ACENTO (moveis)","placeholder=""cuidados-com-moveis-planejados"""
"\src\components\admin\PostBlogForm.jsx","123","SEM_ACENTO (titulo)","Gerado automaticamente a partir do titulo. Pode editar se quiser uma URL diferente."
"\src\components\admin\PostBlogForm.jsx","140","SEM_ACENTO (descricao)","Aparece na listagem do blog e como descricao padrao para buscadores se o Meta Descricao ficar em branco."
"\src\components\admin\PostBlogForm.jsx","140","SEM_ACENTO (padrao)","Aparece na listagem do blog e como descricao padrao para buscadores se o Meta Descricao ficar em branco."
"\src\components\admin\PostBlogForm.jsx","173","SEM_ACENTO (nao)","(upload direto ainda nao esta disponivel)."
"\src\components\admin\PostBlogForm.jsx","173","SEM_ACENTO (esta)","(upload direto ainda nao esta disponivel)."
"\src\components\admin\PostBlogForm.jsx","187","SEM_ACENTO (titulo)","Meta titulo"
"\src\components\admin\PostBlogForm.jsx","191","SEM_ACENTO (titulo)","placeholder=""Deixe em branco para usar o titulo do post"""
"\src\components\admin\PostBlogForm.jsx","198","SEM_ACENTO (descricao)","Meta descricao"
"\src\components\admin\PostBlogForm.jsx","213","SEM_ACENTO (publicado)","id=""publicado"""
"\src\components\admin\PostBlogForm.jsx","214","SEM_ACENTO (publicado)","{...register(""publicado"")}"
"\src\components\admin\PostBlogForm.jsx","217","SEM_ACENTO (publicado)","<label htmlFor=""publicado"" className=""font-texto text-sm text-preto-fosco"">"
"\src\components\admin\PostBlogForm.jsx","218","SEM_ACENTO (publicado)","Publicado (visivel no site)"
"\src\components\admin\Sidebar.jsx","9","SEM_ACENTO (portfolio)","{ nome: ""Portfolio"", href: ""/admin/portfolio"" },"
"\src\components\admin\Sidebar.jsx","23","SEM_ACENTO (titulo)","<span className=""font-titulo text-branco-gelo text-lg"">AW Admin</span>"
"\src\components\sections\Ambientes.jsx","6","SEM_ACENTO (cozinha)","imagem: ""/images/ambientes/cozinha.jpg"","
"\src\components\sections\Ambientes.jsx","7","SEM_ACENTO (cozinha)","alt: ""Cozinha planejada em madeira escura com iluminacao embutida"","
"\src\components\sections\Ambientes.jsx","12","SEM_ACENTO (closet)","alt: ""Quarto planejado com closet integrado em marcenaria de alto padrao"","
"\src\components\sections\Ambientes.jsx","12","SEM_ACENTO (padrao)","alt: ""Quarto planejado com closet integrado em marcenaria de alto padrao"","
"\src\components\sections\Ambientes.jsx","26","SEM_ACENTO (banheiro)","imagem: ""/images/ambientes/banheiro.jpg"","
"\src\components\sections\Ambientes.jsx","27","SEM_ACENTO (banheiro)","alt: ""Banheiro com marcenaria planejada e acabamento premium"","
"\src\components\sections\Ambientes.jsx","27","SEM_ACENTO (premium)","alt: ""Banheiro com marcenaria planejada e acabamento premium"","
"\src\components\sections\Ambientes.jsx","27","SEM_ACENTO (acabamento)","alt: ""Banheiro com marcenaria planejada e acabamento premium"","
"\src\components\sections\Ambientes.jsx","41","SEM_ACENTO (titulo)","aria-labelledby=""ambientes-titulo"""
"\src\components\sections\Ambientes.jsx","49","SEM_ACENTO (titulo)","id=""ambientes-titulo"""
"\src\components\sections\Ambientes.jsx","50","SEM_ACENTO (titulo)","className=""font-titulo text-3xl md:text-4xl text-branco-gelo leading-tight mt-4"""
"\src\components\sections\Ambientes.jsx","57","SEM_ACENTO (ambiente)","{AMBIENTES.map((ambiente) => ("
"\src\components\sections\Ambientes.jsx","59","SEM_ACENTO (ambiente)","key={ambiente.nome}"
"\src\components\sections\Ambientes.jsx","60","SEM_ACENTO (portfolio)","href=""#portfolio"""
"\src\components\sections\Ambientes.jsx","64","SEM_ACENTO (ambiente)","src={ambiente.imagem}"
"\src\components\sections\Ambientes.jsx","65","SEM_ACENTO (ambiente)","alt={ambiente.alt}"
"\src\components\sections\Ambientes.jsx","72","SEM_ACENTO (titulo)","<h3 className=""font-titulo text-xl text-branco-gelo"">"
"\src\components\sections\Ambientes.jsx","73","SEM_ACENTO (ambiente)","{ambiente.nome}"
"\src\components\sections\Contato.jsx","17","SEM_ACENTO (cozinha)","""Cozinha"","
"\src\components\sections\Contato.jsx","21","SEM_ACENTO (banheiro)","""Banheiro"","
"\src\components\sections\Contato.jsx","63","SEM_ACENTO (titulo)","aria-labelledby=""contato-titulo"""
"\src\components\sections\Contato.jsx","71","SEM_ACENTO (titulo)","id=""contato-titulo"""
"\src\components\sections\Contato.jsx","72","SEM_ACENTO (titulo)","className=""font-titulo text-3xl md:text-4xl text-preto-fosco leading-tight mt-4"""
"\src\components\sections\Contato.jsx","74","SEM_ACENTO (projeto)","Vamos planejar o seu projeto"
"\src\components\sections\Contato.jsx","77","SEM_ACENTO (formulario)","Preencha o formulario abaixo e nossa equipe entra em contato para"
"\src\components\sections\Contato.jsx","78","SEM_ACENTO (projeto)","entender seu projeto e agendar uma visita."
"\src\components\sections\Contato.jsx","84","SEM_ACENTO (titulo)","<p className=""font-titulo text-xl text-preto-fosco"">"
"\src\components\sections\Contato.jsx","159","SEM_ACENTO (ambiente)","htmlFor=""contato-ambiente"""
"\src\components\sections\Contato.jsx","162","SEM_ACENTO (ambiente)","Ambiente de interesse"
"\src\components\sections\Contato.jsx","165","SEM_ACENTO (ambiente)","id=""contato-ambiente"""
"\src\components\sections\Contato.jsx","195","SEM_ACENTO (nao)","Nao foi possivel enviar agora. Tente novamente ou chame no"
"\src\components\sections\Depoimentos.jsx","6","SEM_ACENTO (publicado)","where: { publicado: true },"
